24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (IP) - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,227 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2 - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador de Miniporta WiFi Virtual da Microsoft - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230 - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: HUAWEI Mobile Connect - Network Card
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2 - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #5
24 Jul 2014 12:30:39,228 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #2
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #3
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft 6to4
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #4
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #6
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #7
24 Jul 2014 12:30:39,229 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador do Microsoft ISATAP #8
24 Jul 2014 12:30:39,505 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Using network interface: VirtualBox Host-Only Ethernet Adapter with MTU 1500
24 Jul 2014 12:30:40,122 DEBUG [SSLVisionCam|MulticastUDPReceiver] Socket timed out on iface Software Loopback Interface 1
24 Jul 2014 12:30:40,147 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Multicast group joined
24 Jul 2014 12:30:40,147 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: VirtualBox Host-Only Ethernet Adapter - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:40,147 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2 - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:40,147 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device - VirtualBox Bridged Networking Driver Miniport
24 Jul 2014 12:30:40,147 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows - VirtualBox Bridged Networking Driver Miniport
